reviewerID,asin,overall
APJFQN4KTXUHR,B0017JY5F4,4
A3MKF448PJTEUZ,B001ACKIUO,4
A3E38BLFU09ZF1,B001CCMYV8,5
A32I9B725XTH5O,B001D7REJ4,5
AKXAZ603GRRBK,B001DBF07I,5
A3A57GX8FJ4QNQ,B001DBF07I,4
A376OJHLE6SU9Q,B001DBF07I,5
ABIVKBMSIPEDY,B001DEYVXO,5
A29FHJJ26JPOMQ,B001DEYVXO,5
A1D2YN2BDJLMWD,B001DEYVXO,5
A3DJX3PX4FJUPD,B001DHECXA,5
A2I5QH4F5FDKK5,B001FB5CI8,5
A2CFV6RHNTWDCM,B001GUY5PY,5
A145PRLW7F0A12,B001GXQMXE,5
ASRA2UZ3JV87B,B001I8Y176,5
A2M50XP8L65W7M,B001K9BFB8,3
A18S63SLWHGY4M,B001K9BFB8,5
A3GXHIAUFJ3TWU,B001L16R22,5
A29F7KXRIPLNYH,B001LDRNY6,5
A1AZQYCTXIPQAD,B001LYUG3A,2
AOK6J0QF7R17K,B001M547EM,3
A1PLLPWFHY7QLR,B001MSS6CS,4
A2F1P10GGZ7K2T,B001MSS6CS,5
A1VP5ZED9CTRNE,B001MSU1HG,5
A25HNP8ZULS723,B001MSS6CS,5
A2WYEZIA00RFCP,B001MSS6CS,4
A3P2NJQ1K4NUZW,B001NJ27QM,5
AI819O4RWPS6O,B001NJ27QM,5
A2I0TYOFPCIRMP,B001NJ27QM,5
A1L2TZ17EGCVWG,B001NS0OZ4,4
A2H0IIGX6IC3OI,B001QXDSRW,1
A2OIC64ZGEVHRZ,B001SEQN3K,2
A2Y45TJ471YD5L,B001SEQN3K,3
A3QX0ERX4D03TF,B001SEQN3K,3
A113DZT5IH22N4,B001TAAVP4,5
A3ESWJPAVRPWB4,B001TE0IMG,5
A252WGOTW1GOOR,B001TH7GUU,5
A2KNIU4MBVRI82,B001TH7GUU,5
A29QMIN1UPI2AD,B001TH7GUU,5
ASVBQ69SB38EY,B001TH7GUU,5
A1BR1Q63132DWG,B001TH7GUU,4
AKX5D7FRPT4WM,B001U3SU8U,1
A1Q6DAXHHIP482,B001V7XPSA,5
A2F2U4O1U6MN9J,B001V7XPSA,5
A2ECHUZCUNOG6R,B001XHBNN2,4
A28BX3MM90A6FI,B001XURP7W,4
A3R1WFO4KIUQXZ,B001XURP8Q,5
A29ELZ0R2VXILG,B001XURP8Q,3
A3SXM4W15LEIED,B001XURP8Q,2
ABO8GY1XRN3E,B001XURP8Q,5
A3CHCBV871PDNA,B001XURP8Q,4
A3SLEB4QSVW581,B001XURP8Q,2
A2OMLOE9HSL33E,B001XURP8Q,5
A3D3S8KFM24EMG,B001XURP8Q,1
A2Y5NI5AOZMK6D,B001XURP8Q,1
A2L6GDFGKYC6GP,B001XURP8Q,4
A36B4WXFH2LISD,B0021AG0QK,5
A33IJGLTVS5MDS,B0025VKUPM,1
AX7H4ZTOAKB00,B0025VKUPM,4
A3IRZPCQCVCF5Y,B00274HQY0,4
A1EUDKGZ5VNKEB,B0027838CU,5
A2YE2GLUQUVLYA,B0027838CU,5
A1FLLR5P7EVASS,B0027EMHM6,1
A39X0S8B3LVEU5,B0028Y4D5Y,5
ADGASLSN4C0PC,B0028Y4D5Y,1
A3HLW3ASVSTED6,B0028Y4D5Y,5
A3CSQYZ11S3VR3,B0028Y4F4S,5
A1F0GWKAOVHJJH,B0028Y4F4S,5
AUQPP5X315VRM,B0029U2YSA,5
A3B1CKKF33MEAR,B0029U2YSA,5
AL0LSH1UP46JY,B0029U2YSA,1
A3VYGDBHEWF920,B0029U2YSA,2
A2RL0WQ92MTN6R,B002AQSTXM,1
ASR7145BJLFIW,B002AQSTXM,4
A3V9ZQ7GGN56VJ,B002AQSTXM,5
A10U8DJAPJJI8I,B002AQSTXM,4
A30QCX266UGGFJ,B002BR6DF6,5
A353YNGV6WYC82,B002BR6DF6,5
A2AJ8CTLPGAHL7,B002BR6DF6,5
A2WVTRNQMUW1HX,B002BWOO2K,1
AFXAUTNH7I5TU,B002BWOO2K,5
A38WZ3WVV7LCNN,B002BW6DBU,4
A3N9TOPHBENB9I,B002C1BBU8,5
A1Y5IF71BX7URN,B002C1BBU8,1
A2D5GELKLI0AA8,B002CLKFTQ,5
A28LXIZQOEQ6KY,B002CLKFTQ,5
A3CRZES2J9OOOL,B002DHPZGM,3
A3461WXN27BV0F,B002EUCU3O,5
A3VW8ICRGYBU7W,B002GH8OCG,3
AZPPOYVBIYTVO,B002GH8OCG,5
AROBVTJRMG6NH,B002GH8OCG,1
A1KT8QQ74E3SVQ,B002KC8S3C,5
A3NLV6WVEXXDBU,B002OMB7FE,4
A12LTYDEZDUEIV,B002QFOKOO,4
A3R4794K2RVU1S,B002QEBMCI,5
A2EVDHF9SBVK23,B002QEBMCI,2
AOEDWQLH2WKKW,B002RL8IAY,5
A2ALMW6CSEEFBE,B002RL84OY,5
A3S2FM1HLD1VQY,B002SNBAX8,4
A7EU2BWLLCJY2,B002SOKFNS,1
A1A76DZ5UVEK3F,B002SZEOLG,5
AECVO967GLWZI,B002SZEOLG,5
A240JGMTVQXZYV,B002SZEOLG,2
A1K9MWAQRC32PS,B002SZEOLG,5
A1VV6G2QM692M,B002SZEOLG,5
A6MD2MCGRIPZA,B002UVNW5W,5
A16YEYIEXRMQRN,B002UVNW5W,5
AD5UT03Q3OP9,B002UVNW5W,1
A1CFHOZVK5EU5B,B002UVNW5W,3
A370OY1VNOSXIP,B002UVNW5W,5
A3CBT5TYEHK4QF,B002UVNW5W,5
A2FP7P3U71DGX1,B002UVNW5W,5
A2U68C102W0MJ3,B002UVNW5W,5
A1B8O67VSDW2O5,B002UVNW5W,5
AU1U2IRRPC58L,B002UVNW5W,5
A1OH2FO5VVVQJH,B002UVNW5W,5
A2NQV2BIH8E8OA,B002UVNW5W,5
A1S1G6D3OPR4QX,B002UVNW5W,4
A1627N7UHBADM8,B002UVNW5W,1
A3GWN8G5GOHA4Q,B00310EES0,1
A298K4I55X8ZPC,B00318CRNQ,5
A2ZNDLI2VULCM0,B0031NF116,5
A37VMN8830BG4J,B0031NF116,2
A1PBGTDI95Y4CN,B0031NF116,5
A18HE80910BTZI,B0031RG2JC,4
A2LIPLT5LJTN5B,B0031YFK5C,5
AWWDV1M14ME2S,B0032FOK1K,4
A2L4UHYPE4RQ7I,B00348K5XW,5
AAFZJOTHLCOWW,B00359EXZG,3
A22K3QZ9T51COO,B0037ECAPO,5
AIJQU979J6UFY,B003809LBS,5
A1DQHS7MOVYYYA,B00387EW1U,5
A1PRM8YHXIYVT7,B0038LILTK,5
A1PN0QNVHZ2ENG,B0038LILTK,5
A3EAFIXNIA16S4,B0038P1TP4,4
A33WTFZCYRI97K,B0038P1TP4,5
A1HIODF3FD2UD7,B0038P1TP4,5
A345F5RT0H9E1Z,B003B4BBFK,1
A37F9EF31N5Z4Y,B003EOATIW,1
AQJBVJBCO8E42,B003F5NS9W,5
A26SMRIK62RDAW,B003FO0LG6,5
A18WSTFDAF2391,B003FO0LG6,5
A6S1LPSQOVEUH,B003FO0LG6,5
A1PWEK47AFCEI2,B003G2Z1M6,1
A10G9BCZ03ARRJ,B003G2Z1M6,4
A3GJL8FTC5O4KW,B003L18RZU,5
A3OYLT8TI1YGC4,B003L18RZU,5
ATGUD6BO44IM0,B003MB780E,5
AZKV2TUM0BUUV,B003MB780E,4
A1KKXLE2GQ9R0B,B003MB780E,4
A3CA2LZ8F6SZNW,B003MB780E,5
A3RR3H0GDBVC34,B003MB780E,5
A2M4CD639HSL7Q,B003MB780E,4
A1IBT81PPRG115,B003MSUDUE,5
A3NTPRP6C4GBVD,B003MTTJOY,1
A1VVNKB0UPUV6X,B003MTTJOY,5
A2I8BXH8FFN4QA,B003MTTJOY,5
A1IGYU00S558CX,B003MTTJOY,5
A3V1N0HRHE52P2,B003MTTJOY,1
A2HYG360E70YK9,B003MTTJOY,5
A89TNHJTE2TXC,B003MTTJOY,1
A3H63FQ39TF54B,B003MTTJOY,4
A391XX759TELA3,B003MTTJOY,3
A17EA5BKBJORVF,B003MTTJOY,2
A3PUMI4XMFQBDN,B003MTTJOY,1
AKCV2JKS24HI0,B003MTTJOY,5
A3AJ7JPRPK0IGR,B003MTTJOY,5
A2CXWQSPCI8433,B003O9ATDM,5
A397ATMYJTWXZK,B003RRY8ZG,2
A1251HLHRSQQEW,B003SWEIH8,4
A1QPT40XE8ZDHZ,B003VTZ070,2
A12L61MZQMWH5V,B003WM2N94,3
A3RK02FV9V51MB,B003WM2N94,5
A2J7D47MHKVB9,B003WV5DMO,5
AXJWP32O6WRJN,B003XN24GY,5
A2C49175IKF9IO,B003XN24GY,5
A2B6BD8C00XEOT,B003XN24GY,5
A2VYB07TMKONDB,B003XN24GY,3
A23SV4HUNOE6HJ,B003XN24GY,5
A33S0P5H9O035E,B003XN24GY,5
A7QV6Q7Y6GHO2,B003XN24GY,2
A94S2Y2RON2II,B003XN24GY,1
A1YTTJIUF1AY2A,B003XN24GY,5
A2K0D19N83G6U2,B003XN24GY,5
ANWQ2K7XPPN9J,B003XN24GY,5
A3H57UC5N4E6MI,B003XN24GY,5
A1W5L999VHZPQ,B003XN24GY,5
A289VI6ZF1CQQG,B003XN24GY,5
A48W0JGQN3QRD,B003XN24GY,5
AARM21FV3HOWV,B003XN24GY,5
A2WXFI0FPJEN86,B003XN24GY,3
A29WBHHYAAJJPY,B003XN24GY,5
A2XX2A4OJCDNLZ,B003XN24GY,5
A2VIBIT9BYOI53,B003XN24GY,5
A1G0G9QUKMPLHC,B003XN24GY,5
A2T8YH950PQVEG,B003XN24GY,5
A5OXSZ6JI3WW0,B003XRGXDK,4
A3DPDUFRTXKAMI,B003Y6UNI6,5
A76N7JPWBTURO,B0040I7J6G,5
A3GSGG1WDWPBIR,B0041Q38QM,5
AHNQW1XO32QT0,B0042AG1D4,5
AHIII6GUEQ7WK,B0043RZ9SY,5
A3HQKIJ6ZFQB87,B00445TG52,1
A2G3M03VIVKTEF,B0046RDR5I,1
A353U0L2HAMSHV,B00471GE5S,4
A3NRGI302B6NUA,B0047AALW6,1
A31FMAHPE6EWLX,B00499DUAK,3
AF03NDXR2PIFX,B0049U3S74,2
A316H15LKXNJ1U,B004A98YTG,5
A37ZYG06CDDICD,B004A9XB6W,5
A29JBGVFRUAO9E,B004A9XB6W,5
A3V13KLL0HAMR7,B004A9XB6W,5
A2CDWX2E847UB3,B004A9XB6W,4
A2B4ZR4WZ2EXLQ,B004A9XB6W,5
A38QAVV2NSKLY2,B004A9XB6W,4
A3DR0O3WVPEKJO,B004AT03YK,5
A2SHT3A9MNKA7Q,B004AT03YK,4
A3GAWO7AKFKOJW,B004ASW73G,5
A3ENPKXGLJRPDA,B004AT03YK,4
A2LJB60IWX4PHK,B004ASW73G,5
A1BLGSCR5XJAZQ,B004ASW73G,1
A33QGA7O5KAZ46,B004ASW73G,5
A2FJMK3TJT2DS3,B004ASW73G,3
A2OLJNOIJGMG2N,B004ASW73G,4
A1JRDR6QJK62Y6,B004ASW73G,5
A1J34A4DNH8TVE,B004ASW73G,4
A21GW4L8FO307V,B004ASW73G,5
AGH1QUY05EMD3,B004ASW73G,5
A4KV348EU9LI7,B004ASW73G,5
A27995O0ZP01WW,B004B0H5GC,4
A2ZW8FZTH5U1BE,B004B0H5GC,1
AOMDRM0XPHVCH,B004B0H5R6,2
A1MRPX3RM48T2I,B004C5MVBK,4
AG2SALIW50YSC,B004CRUZ48,5
A31B94PSQ7JHVB,B004D06XJ0,1
A276IDHS4L7DRH,B004E9SVFO,3
A212VT0OJUSBKE,B004I8B8Z6,5
ABAHEF328B1JU,B004IYJWVW,4
AX992WXG50MIK,B004L9JZ9S,5
A1JME4J34792D3,B004LB4MZS,5
A1LL4YXKTS9ISZ,B004LFNCVY,2
A2GMHKGTEN3IYU,B004LFNCVY,4
A2RZNVGMQCD2V6,B004LFNCVY,5
A15IQ1KBXUXFUX,B004MKNNGW,5
AIFCBL7V2DJSK,B004MKNNGW,4
A11C0JG52U5F2E,B004MKNNGW,5
A96TVYCTIM44J,B004MKNNGW,4
A1XGWC6VLRMUWO,B004MKNNGW,5
AOXXCWMIG217L,B004MKNNGW,5
A7OCB1QNNVBZP,B004QD9E54,1
A253CSC3JZWS50,B004QJOZS4,5
A2TBUNBRN70HAH,B004QJOZS4,5
A35O0E66TJG8E,B004QJOZS4,5
A2VJQTMET0QJDQ,B004QJOZS4,5
A3608WD70C94XG,B004QJOZS4,5
A2K13BULPRZXP5,B004QJOZS4,4
A2KO27HXJWYKLI,B004QJOZS4,5
A8TVGBFR3DANB,B004QJOZS4,5
A33RIETK5K8K9G,B004QY2KL8,1
A37970VS3JWDD,B004RPS010,2
AKW266ENXIDC6,B004S50WPG,1
A1ODSZGIRJ4ZN4,B004S50WPG,4
A1UUVRJLGFJUE6,B004S50WPG,5
AQV1V44SZNAJJ,B004S50WPG,4
A2O5ST1GKH15SC,B004S50WPG,3
ADPD9NIHCVN86,B004U4KVBA,1
A2JLUY0SSZLR6O,B004VFFJ6A,5
ANAANW7N0E73N,B004VR7XCG,5
A12TL45KJR4CSW,B004WM36WG,5
A1YSQD6GIOKR4F,B004WNLPGO,1
A1T9KOYXKR4K8,B004X63D2E,5
A1SJ2XH93XBU6I,B004X63D2E,5
A2CLFYJB0P0F6M,B004XFZTSQ,1
A3P7OO2Y1C888F,B004XFZTSQ,5
A21HKL8WSQWLQM,B004XLAWZA,4
AAA58U6VINV7C,B004ZNA3UA,1
A2VANPK2X1369D,B004ZNA3UA,1
AJA31UYVQP4UI,B004ZNA3UA,3
A1TF6592YOPF0Q,B004ZNA3UA,1
AH5BCMZELZSKG,B004ZNA3UA,5
A2N6850P9TDYFW,B004ZNA3UA,4
A1Y2HJEX81XBCO,B0050CEEIW,5
A19H8SQC5NI0YB,B0050I1P4C,3
A1KKD5Y90YWGCL,B0050SI9W8,5
A2757EPQSM4EG8,B0051GN8JI,5
A2WNUFV4ST66O2,B0051GN8JI,5
A37Z3FWDW7JFDI,B0051G5SD2,4
AJP45EYVBQSTP,B0051G5SD2,4
AH2XPY160AHS0,B0051GN8JI,5
AD16ADNEWJE24,B0051QQJ44,5
AYL9K9SEVDF4Z,B00535CMEE,2
A3Q6ZPW60CVF2L,B00535CMEE,3
AFA2O5DZIPI2O,B00535CMEE,5
A2K4HN6EECBNR3,B00535BRBI,5
A1UGM8EQGUI5FX,B0053O9ZN6,5
APRNS6DB68LLV,B0053ORV64,5
A195EZSQDW3E21,B0054X8CEY,5
A1XYD7J0PKGZ8,B0054YQO5C,5
A1AKUNFI7H0XM2,B00556NMMW,3
A29ES5PXIOSU9H,B00556NMMW,2
ACTMZJ4EUOC65,B0055D0ZNE,3
AEGFAE997FHB5,B0056HNRPC,1
A22FEY9ZI9JSX1,B0056TYTV6,5
A13FLDVUX6S7NV,B0056TYRMW,1
A2VUHPCBYEZS40,B0056TYRMW,4
A1NB2ARNV5DAC0,B0056TYRMW,4
A1F2FKAND46L2G,B0056TYRMW,5
A2IXRQWVEW0E2H,B0056TYRMW,5
A2IMLOJ2Z2QEU2,B0056YNA9I,4
A1ZKFV5APWNB3U,B0057XCUXK,5
ATYA5H6H9J43F,B0058BG0UK,1
A2R48E8RSQGSDN,B0058TUZTO,5
A2JN8FRFE6ZVD9,B005BCNAWW,4
A2HGXEMSM5A0VZ,B005CG2ATQ,1
A1A6VCO88M380S,B005CG2ATQ,2
A19W47CXJJP1MI,B005CG2ATQ,5
A3G5MOHY1U635N,B005CG2ATQ,3
A1QKTYI1316FU2,B005EJH6RW,3
A1ECSSPGSK4UHV,B005EJH6RW,3
A3TYONQ6HRVDUS,B005EJH6RW,4
A2WUYJBF1E1T4E,B005EJH6RW,5
A16PV1V7ZTBG2W,B005EJH6RW,5
A1Q7OJORGOFNLO,B005EJH6RW,5
A2QEY8ZXMOP6HJ,B005EJH6RW,5
A2TGEPAINVISBE,B005EJH6RW,4
A1ZY4A87QNKYRZ,B005EJH6RW,4
A244CRJ2QSVLZ4,B005EJH6RW,5
A550J64U4TYYP,B005EWB17A,5
A2W9GX82SLKROQ,B005EWB17A,4
A1RMFP15HVUT3V,B005EWTKAA,5
A1CS6FGM6TMQ3D,B005EWTKAA,5
A2BIHHH6CAMP6B,B005FYNTOK,1
A2AA1DL2WOCLYB,B005FYNSUA,1
A3384JEPXV0FJI,B005FYNSUA,5
A3MANVZV8QXVK0,B005FYNSUA,1
A2L9CJ5FM0EGM6,B005FYNSUA,4
AXL4EURQ7UN2V,B005FYNSUA,5
A2T7YXH5Y6HS6C,B005FYNSUA,3
A1H3QPK626GUMV,B005FYNSUA,5
A1BQ2DT15DQ86N,B005FYNSUA,2
AUJSKFC7T589Z,B005FYNSUA,4
A21RMLSZNFDRO1,B005FYNSUA,1
A30ZOSA8ODSFP1,B005G306I2,5
A3TUGV5BI2SDEK,B005H3Q5AE,5
A294RBBLHESBMR,B005H3Q5AE,5
A1DI3X0EOE5PY9,B005H3Q5AE,1
A2M14CFAMF8J7I,B005HMKKH4,5
AWW0JIUH84TIK,B005HMKKH4,1
A24UFS66TT7Y4I,B005HQ51OW,4
A32E3DC9YL2HYY,B005HQ51OW,5
A3LAKFK21AQPSE,B005HQ51OW,5
A12DQZKRKTNF5E,B005HY4UG4,4
A1U1A4MR2CWRIB,B005I17WCA,5
A2NR75GMH2BB3X,B005IOLBT2,5
A15RO1U9QHMS7J,B005IOLBT2,5
A2AF5GE0N8UY0E,B005J7YA6O,1
A2A2MHLBXT808I,B005J7YA4G,5
A226MK28WE5VF1,B005J7YA6O,3
A3HGP21H2MUATX,B005J7YFLY,4
ALOR17H5VOHG5,B005J7YA4G,1
A26H0I7JX18219,B005J7YA4G,5
A10LPCWIHS4TWT,B005J7YA4G,5
A17YXDVMGV89J4,B005J7YA4G,5
A2FLTY69FAI5IK,B005JFUI6M,2
A3E4Z8NHLI5D2Y,B005JFUI6M,4
A1RHALXYTEHZFE,B005JW6VTS,5
AXE5NR6E8Y5E6,B005KSAG3S,5
A35K1FNE06IRQJ,B005LDG406,4
A14I321RLINHLJ,B005LJKEXS,5
A199DS08T6USPR,B005LTBOIM,4
A113U8YJ7HLFKP,B005MNGQ6C,5
A3B7HXUL15AOEL,B005MNGQ6C,1
A1UF75XLR2I4UM,B005MNGQ6C,5
A33HIV8RXRDM88,B005MR57R2,4
A3PGGVAY8PKSAY,B005NEPZ80,3
AFDC4LIJUI4F7,B005P2BY5I,5
A1X3YDBWC7PBML,B005P2BY5I,5
A1OWDTAT2ILWD8,B005P2BY5I,5
A2YY8RFLGIKXHI,B005P2BY5I,2
A2RT5MVGY7O1JQ,B005QRMAJG,5
A3DFBOVQUBV6N1,B005QRMAJG,5
A33FL1I0PLM0M8,B005QRMAJG,5
A3FKS86T27GSZE,B005QRMAJG,5
A3QDTZPLEQRC0S,B005QRMAJG,5
A74UT8IQCM0I2,B005QRMAJG,5
A3I2THJJLX63ES,B005QRMAJG,5
AB2JTA50QWC7V,B005QVY65I,1
A28PWQFG3OWH9D,B005VAORH6,5
A36DH9QOUQIJPL,B005VAORH6,4
AHJVZ8NN1NXDR,B005VAORH6,5
A1FL9PH9WVOCL8,B005Y8BYOE,1
A3J1RFEHFLP0MB,B005Y8BYOE,5
A26CKJ7TG1RB5N,B005Y8BYOE,5
AQ01HZ1QXZ3DR,B005Y8BYOE,5
A32HAMICRE52M,B005Z2AEMM,4
A2EN82VBJT44QP,B005ZSDBV2,5
A2KVW8BZEQRI56,B00603S1OS,5
A2M0T19QROOR6G,B0062IMERQ,5
A1UJA50HEURMF9,B00632SOD4,4
A3MF5GC81U7W4Y,B00632SOD4,5
AW67GB4EXM1F1,B00632SOD4,4
A2GKMXRLI7KLFP,B0064LWISQ,5
A1OVSKQCT56NTT,B0064LWISQ,3
A7TNSUGHYDSU,B0064LWISQ,5
A28NNY8RA9EVW1,B0064LWISQ,5
A2S1PKZXU7LUXR,B0064LWISQ,5
A322ZKD4XBJPB0,B0065DUJ0C,4
A989X3JOT6BYI,B0065DUJ0C,1
A1EVTS3FKVXNOD,B0065DUJ0C,5
AF0JDL38YPGXN,B00671E8DG,1
AWA67X0KLV3TR,B00671E8DG,5
A688LHOU9KLBV,B0068Y7HUS,5
A1W617R34QVE79,B00695MXE6,5
A2FTI6FYMKQ1LC,B00695MXE6,1
A1JOUATPAMAQ5U,B006B3PADC,3
A29BUI6U3XEHW1,B006BUVP5M,5
A14XHT5SRBBNCN,B006CSKMKW,3
A1HBRDWNP90UC4,B006CSKMKW,4
A15L6NE2YJRQ3Y,B006DDT6L2,5
A2D2C32DJ4NI9L,B006DDT6L2,5
A2DFRG2H8LALRN,B006GCYAOI,4
A2OC225RVN9J1V,B006L6ZL8I,1
ABZT2JPX63P1W,B006L6ZL8I,4
