reviewText,rating_class
the standby after ten minute may have contribute to massive filesystem corruption that be discover right after the unit power back up on access o be win10 drive be set to optimize for performance so write caching be enable write caching be enable because i be transfer a ton of small file to the drive in the cabinet and do so will write caching reduce performance to a crawl the xfer have occur and it be about a day after the xfer that the filesystem corruption across all the drive be find okay so i contact the company and ask for instruction to disable the standby feature they send a firmware file with instruction to reprogram the firmware one step in use the programmer be to specify the minute untoday i learned standby 0 or zero for disabled also i think it be a requirement of the programming software to use an old like xp pc it do not work on win10 for i i have to use an xp notebook i have for these sort of occasion i do it for a living note that the firmware they send i be date 102320140435 pm 49408 byte and filename jms567pspmv9029 bin so almost a couple year old on the replacement firmware reprogram use it anyway and set standby to 0 seem to have defeat that feature interestingly enough now the drive enumerate differently previously the drive have enumerate a scsi device now they re enumerate in device manager with their manufacturermodel another interesting tidbit be that previously with the shipping firmware i be get quite a few event 153 warning log in the event viewer on the win10 box event 153 be the io operation at logical block address 0x613737 for disk 3 pdo name device0000007c be retry type stuff this would occur during heavy io and like i say there would be many consecutive warning sometimes 12 dozen with the replacement firmware send to i with instruction for disable standby i m no long get those warning i be however get event 158 warning those be disk 4 have the same disk identifier a one or more disk connect to the system go to microsofts support website and search for kb2983588 to resolve the issue i be get the same warning under the shipping firmware i have contact the company ask for information that would explain the disk corruption whether other with the shipping firmware have experience the same issue the change in how drive enumerate scsi v manufacturer model in the shipping v replacement firmware the event 153 under the shipping firmware and the event 158 under both the shipping and replacement firmware and have not receive a response the concept be great but massive filesystem corruption would be a deal breaker i m do extensive testing of the replacement firmware but have some concern that the way the driver enumerate now indicate i may be limit in the drive capacity support ill cut the outfit some slack a there be no doubt some language barrier these unit use jmicron controller and it would be nice if jmicron would write something up indicate the difference in firmware and operation the picture i ve attach show device manager with shop hidden device check so you can see the way the drive originally enumerate a scsi v the way they now enumerate,Average
it work smoothly the write speed be not the fast compare to some in the market but with only a 200 gb hard drive it not like you ll be write massive amount of datum to it on a regular basis but it so much nice than back everything up to cddvd like i use to it just a simple click and drag with my mouse i can finally have peace of mind know that everything be now back up the good part be that all you need to do it quickly plug the usb in no power cord to get all tangle with everything else,Good
after browse arround small ac usb wifi adapter i find this one that have no review so far i m very impressed speed be good and the range be fine i m upstairs and get great signal i have be transfer file back and forth on my lan and it do not overheat like some of the other device so far pic show average lan transfer speed on 5gh ac network for realom a wired source router be a netgear nighthawk 1900,Good
i buy this case for my first pc build so i m new to this the case come in perfect condition but the plastic cover the window be not line up correctly on the inside panel not a big deal the only thing that i do not like too much be that there be no wiring grommet to hide the wire and a little more and offer more protection for realom the case but for a budget case i think it great i will update this review once my build be do and i have all my part update now that i ve have the case for a while i stoday i learnedl like it but i m find one big issue there really be not much room for the power supply behind the drive bay i have a fully modular evga super nova 850w gold and i have to bend my cable sharply to get it inside the case by do this it very easy to accidentally pull out a cable for realom the mobo or the psu itself,Good
i get this for for realee a a backup to the original apple mll82amausbc charge cable 2 m that come with my apple macbook pro mlw72lla 154inch laptop with touch bar 26ghz quadcore intel core i7 256 gb retina display silver it be much heavy and sturdy than the apple charge cable and it be also short by 2 meter which do not seem like a lot but if it not what you re use to it certainly make a difference it come in for realustrationfor realee packaging so it easy enough to get in and out of the box a usual the quality do not disappoint but the price do it actually more expensive than the apple charge cable list at 19 but a few dollar more on amazon so i d have to recommend go with apple cable a it also support charge usbc device and work for sync and datum transfer,Good
let i start off by say i be use this on 2 different macbook pro run macos high sierra this adapter work perfectly once i instal the correct driver the driver offer on the include disc do not work you must go to the driver download page on the asix website to get the late driver amazon will not allow direct link to external website you will need to search for ax88179 on the site i download and instal apple mac o x 106 to 1012 driver installer revision v290 release on 20170426 once instal and my mac restart the usb gigabit device appear in network preference i have 1000mbps up and down fiber to the home usually i get much more on the dl side but when i run the test i do not limit other service primary pick this up to use for full time machine backup on my local network to the drive attach to my airport extreme base station a it be much fast than back up 300400 gb over wifi,Good
small and otg readyperfect for usb c phone use it with my nexus 5 x 16 gb and pixel xl 32gbnow i can carry all the medium i need only flaw be that the cap that close the usb c do not rotate all the way to close the usb 3 port it just stick out which make it look a bit odd,Good
love the 10 foot lightning charge cable for realom skiva there s a huge difference in the look and feel of this cable compare to the oem apple cable that be include with your apple device this cord be thick and the plug end be very heavy duty i have no issue with the cord charge my iphone 6 and my ipad mini it a mfi certify so that mean it recognize by apple device and there s no special software need very impressed with the high quality of this cord i love the 1 year warranty and the 10 foot cord length be awesome no more confinement of a 3 foot cord i purchase this cord at a discount price in exchange for my honest review,Good
not too bad of a glass solid build sharp with nice contrast a expect vignette at 14 aperture there be a photo wide open,Good
this little cable be perfect for charge with a small external battery pack it work like a charm and provide a fast charge the cable be fold and loop into the tassel crimp with a metal strip nice quality no rough edge the usb side have 15 of flexible cable and the lightning side have 175 the color match the photo pretty well too you could bend the cable to plug one end into a computer or wall charger spread the cable out essenthanks in advancelly straight i would not do it a lot because the cable be fain real lifey stiff and bend it against the metal strip will only because wear on the cable i love the concept but it would be nice if the lightning cable have a tiny little attached cover so many cable fail on i due to damage to the connector itself that this be a disappointment especially give that this tassel be clearly mean to hang out and swing around for realee overall this be a great little cable it will dress up most bag even those plain black laptop bag and if it do not match the outside you can put it inside and easily find your cable in the depth of the bag,Good
great well make cable be sure which usb end you need the mini be the middle size usb plug there be also a micro which be small this be confusing to i at first reference the chart i include,Good
this be a pretty high quality usbtype c cable a the cord be nylon braid without the impression of be prone to for realay in the future the charge tip housing be metal and a nice silver color attractive and durablelooke the charge tip be not gold plate which be alright because that only really make minimal difference with audio cable this be a usb 30 cable and charge the new mac pro chromebook pixel and i believe a nokia n1 tablet quickly without issue this cord rival the quality of manufacturer like anker and will be essenthanks in advancel for the future of our device a everyone begin to make the transition to usbc for reversible purpose among other thing lastly the cord be about 3 foot which be more ideal for outlettodesk type of distance this be great for when you re not too far for realom the outlet and want to keep cable look clean if you need more cable length though i recommend look for 6 ft or long to be able to have more cord for realeedom all in all i recommend this product which be provide to i for realee of charge for evaluation purpose however i take review seriously and this remain to be an honest review for a product which i be happy use,Good
i ve be use tripp lite surge protector for a while but my entertainment center setup keep grow and since i be run out of outlet i decide to upgrade to this bestek surge protector it come nicely package in a minimalist brown box with the bestek logo the surge protector have a nice build quality even though the finish be too glossy for my taste the status led be not annoyingly bright like every other power strip i ve ever use which be great the power plug rotate so you will not have to bend the cable in weird way my favorite feature be the fact the slot be label,Good
i love a good strong fan especially a chargeable portable fan a a hot natured person fan be one of my personal favorite thing in the world this be great for so many different thing even though the ac be on in the car you can have chill bump in the for realont and be sweat in the back handing one of these to the kid make a huge difference also you can easily clip it to a grocery cart and many other thing shop and ride around be the two time i get the hot oh and sleep one of these life beside my bed at night i have two large fan in my room too but i need something small for my bedside table our ac do not reach our room without the fan pull i use it at my desk and everywhere these fan be strong too even the low setting push out a good bit of air but the 3rd setting be amazing take a few hour to completely charge the charge last all night long on the 2nd setting i recommend this to every one include my whole family i request and receive the rasse fan at a discount in exchange for my honest opinion and review my review be base on my personal thought and experience i keep my review real because i always read review when shop online,Good
great start use with a surface pro 4 i5 computer i ve only have this usb hub for a few day but it fit my surface pro perfectly and work perfectly i want to confirm that it be usb 30 so i do a large data transfer for realom my hard drive to a usb 30 thumb drive here be the result item copy picture folder number of file 1399 folder size 197gig transfer time directly for realom computer usb 12449 1 min 24 sec transfer time use hub 12462 1 min 24 sec the other question be power multiple device simultaneously i have have no issue use it with multiple device my first configuration have wireless mouse external thumb drive external cddvd drive xbox one controller cable play a game the second configuration wireless mouse fan to cool surface pro 4 xbox one controller wireless adapter all operate for 30 minute flawlessly,Good
this be a review of the enfain 10 piece business card usb stick pack 8 gb they arrive neatly package in a box of ten each individually wrap each be about the size of a business card make of hard white plastic and slightly thick than a credit card the usb connector swivel out of the body of the card and the mechanism seem fain real lifey tough in use i do not have any compatibility problem pop the connector out insert it into your pclaptop and you should be all set to transfer datum tofor realom it it be unfortunately usb 20 only so speed be not brilliant i do a few run with diskspeedtest and see average read of around 28mbs and write of just under 8mbs not terrible but certainly far below usb 30 and it ll take a while to fill the full 8 gb these card be definitely not speed demon that s for sure they re great for give out to client with demo particularly if you brand the one side they be quite pricey though even the small 1 gb model be just under 250 so you would not be do this on a large scale they re great to keep in your wallet or purse though and the hard plastic should keep it safe pro great for hand out with demo or for marketing purpose convenient to keep in your walletpurse tough plastic exterior con only usb 20 overall this be a neat flash drive they can be use both to give to client a a demomarkete device but they re equally good to keep in your walletpurse it a pity that they re usb 20 though speed suffer a a result,Good
do not buy this you will regret it it stop periodically i edit video so you know something like this not only make my work tedious but i can loose file especially when edit in final cut pro x i have to invest in the belkin thunderbolt 2 express hd dock,Bad
so far so good easy installation and so far be very pleased with it performance definitely a set it and forget it type camera any time there s a crazy driver i tap the incident button and the clip get save and it can not get overwrite i will update review once i have a chance to review the footage record,Good
i purchase this motherboard for an upgrade to my own desktop tower not long after finish the build window 10 64bit for realee upgrade come out and i go ahead and upgrade for realom 7 it work great on my setup the onboard audio be so good i do not install my old soundcard it have japanese solid capacitor in the audio section plus extra shielding i m play it through logitech z5500 surround speaker i instal intel i5 4690k cpu with aftermarket cool 16 gb ddr3 ram crucial mx200 250 gb ssd for o 2 other wd hdd evga gtx 960 2 gb graphic card the bio on the motherboard have every setting you would ever need i think i be take a chance on the board since i could not find many review but it pay off i like it so much i buy another one for an upgrade to an av desktop use in a local fire department training room run one overhead projector 60 1080p television and 24 monitor all at the same time i highly recommend to purchase an solid state drive ssd for the o since the price have come down and they be more reliable now this will improve speed boot up and also surf the net if you have broadband i also dial back cpu fan and case fan speed in the bio where they do not make any noise at all air movement be not a crucial in my large tower with such low temp on the cpu and motherboard with my install the fan on the 960 graphic card do not even come on unless i m game hard make a quiet system,Good
poor quality only charge at half speedteste max 500 mahit will take forever to charge your phone go to the trash,Bad
this perfect backpack for travel for i i like it and the quality be great,Good
decide to build a new system and settle on this mb because of previous msi experience i add 16 gb of corsair vengeance ddr4 memory a zotac gtx970 video card with 4 gb of gddr5 an intel i76700 cpu with an enermax liquimax ii 120 liquid cooler and two ssd drive all power by a evga supernova 750 g power supply all instal in a coolermaster n200 case this turn out to be one sweet gaming rig i ve only try it on a few game but even maxe out the system do not loose a beat the msi mortar motherboard be rock solid and i do not have a single problem set it up i really like the new gui base bios finally a bios with full mouse support i have not try any of the overclocke utoday i learnedity that come with the motherboard i do not see a need a of yet a everything run plenty fast on it,Good
this next review have be kind of a difficult one to start because of how simple yet necessary of a product it be in this world of technology when mosdart ask if i would review their 64 gb usb30 high speed flash drive in exchange for a discount i know it would be something that would come of use and be sort of a necessity to have on hand work with a huge variety of phone tablet and of course laptop the usb flash drive quickly transmit datum wherever you need it and on the go hold a whopping 64 gb of memory and measure no big than a few inch long you can take your most prize file or something to keep the kid busy pretty much anywhere you need at first when this arrive we be not quite sure what we would use it for we just know we need to have it on hand but then we decide it would be perfect to load several kid movie and game to it for the kid to take with they to grandma the kid be thrilled they do not have to cart a huge bag last weekend and grandma be thrilled she do not have to be completely tech savvy to use it plus the kid keep busy while she do thing around the house,Good
i buy when it be 34 and for that price and 64 gb you just can not beat it i be inithanks in advancelly concern when it arrive and think i have buy a flash drive with only a microusb connector but a it turn out the entire other end be the usb portion of it there be no protector or anything cover it you just slide the entire unit into your usb port i keep it on my keychain so i always have portable storage with i because sometimes you never know when you ll need it the transfer speed be incredibly fast and the unit itself be so small and portable that you almost forget you re carry it i would highly recommend this to anything look for fast and affordable flash drive storage in large quantity,Good
i buy this for my back up external drive to use at work i want something durable for my need that be at a good price since it be for work only a soon a i plug this up my laptop it be recognize immediately and i be able to transfer info on with no issue this unit come with a screw driver if you ever need to take apart the light on the unit be very brightespecially when use it at night the setup be simple and the device come with everything you might need i would definitely recommend this if you be look for a quality case for your hard drive to be able to take it on the road i be very happy with this purchase and it will serve i well disclaimer i be require to inform you that i be a reviewer i get discount but rarely get anything for for realee in exchange for my reviewer discount i be require to post my honest opinion of a product within reasonable time for realame i be require to be a detailed and thorough research and pic a possible in order to be helpful to amazon customer i be under no obligation to post a positive or favorable review for a product i do not feel be worthy of one it have no negative effect on a reviewer to do so hope my review be helpful,Good
i can finally oc my system laughing out loud i have a mainstream board for realom asus and it be a piece of crap compare to this beast this board be my last upgrade i wish i have buy this one originally lot of 4pin pwm fan header non daisy chain dram topology awesome power delivery unit 3 this board be more than twice the cost of mainstream board for a reason this board deliver fx8350 asus crosshair v formula z corsair vengence pro 16 gb 1600mhz corsair neutron gtx 240 gb ssd msi gaming gtx 770 oc seagate 2 tb hdd ocz zx 850w gold psu kraken x60 phantom 630,Good
the quality of the picture be unbelievable will show off to my for realiend to convince they they get to have one for backyard get together small compact many feature cheap than buy tv i think great product even make a stand for it out of a few more amazon thing,Good
unfortunately the amazon product page for this product will not tell you what model of double din this kenwood stereo be kenwood dpx300u the price for this stereo be 134 when i purchase it april 13 and i ve see it sell elsewhere for a min of 150 if you know what you be get and be look at this model then you will not be disappoint if you be look at this because it a cheap double din and look good read the spec on the kenwood page this be an excellent midway double din stereo i get mine professionally instal so i could just go and not worry about break something it come with a wiring harness a toyotaspecific for realame plate a japanesegmc plate and a third generic plate i have a 05 mustang and this stereo look very tasteful and natural in my car i seriously consider an excelon series single din kenwood stereo but just could not get over the flashy youthricer look of the single din here is what make i choose this stereo i want ipod capability usb for good qualityauxiliary at the least a large enough screen so i would not squint while drive and definitely a sleekunderstated look here be some general feature of this stereo usb connectivity for iphone ipod and compatible usb mass storage device pandora connectivity sirius xm ready kenwood music control for android smartphones for realont usb and aux input 3x 25 preamp volt 15 display with 24 color choice for button backlight display lead dimmer control great for night drive steering wheel remote input interesting spec support file format wma mp3 aac 24bit digitalanalog converter usb port for realont aux input usb 11 20 full speed file system fat1632 preout impedance under 600 speaker impedance 48 there be several thing i really love about this particular stereo aside for realom it add to the appearance of the inside of my mustang in a classyslick kind of way there be a lot of customization option for audio quality do not like mess with treblebassmidsfaderbalance there be preset on the stereo for different type of music hear a fav dubsteprap song instead of change your custom audio setting go to the loudness bass booster option and crank it up for realom nothing to lvl 2 or 3 there be far advanced control which be beyond i but i know at the very least you will need a dedicated amp and good set of speaker to fully appreciate all the advanced setting you can tweak on your head unit if you just buy this head unit a a first step like i do fool around with the preset your basstreblemid and do not worry about touch the advanced stuff yet i also like that the dac digitalanalogue converter be 24bit they knock your sock off compare with use an ipod with an auxiliary cable sound quality wise it also a build in mosfett 4channel amplifier which provide at least a 4x improvement over your car stock setup the button on this device be solid and not crappy or cheap look they have a satisfor your informationng click sound and feel when depressed or tap the control knob be tickere every 10 degree or so that you rotate you hearfeel a tick sound very reassuring and allow for precise volume adjustment volume max be at 35 i actually like my music loud but i can not stand it much at 20 in fact i feel that 15 be pretty loud that leave 20 more value to go so there be a lot of potenthanks in advancel for this speaker if you like deafen music volume the bass option be very cool too i do not know my stock speaker be capable of such seatshake soundwave laughing out loud there be thing i do not particularly like with this stereo there be no hd radio build in not a big deal but i do love radio station on long ride and have cdquality music for realom station sound great but it do not come with this and the upper end model i also do not like that the pre amp voltage be only 25 the excelon series kenwood stereo have 4 volt pre amp the difference be a clean sound with le distortion when connect to an amp at high volume though this difference i have be tell be negligible only an extremely extreme audiophile can tell this minute difference many on popular autoaudio forum claim they can rarely tell the difference between 25 v 4 though your amp will provide an extremely important purchase later down the road lastly i do not like it when plug in an ipodiphone it immediately turn your stereo a the controller i personally like change my music on my ipodiphone not on the stereo itself not to mention it easy for passenger to handle an ipod than some foreign stereo device they ve never use before luckily there be an option to put the device inout of app mode which let you regain control of the handheld device that s pretty much it with the con they be minor and hardly worth mention please ask if any question update 42513 i find out how to change the color of the buttonsdisplay light you need to turn on the car fully turn on the stereo and in small silver print on the stereo plastic be say fcn press and hold that button for a couple second untoday i learned you reach a function control menu turn the dial untoday i learned you find the setting for color and select by press the knob then adjust to your heart content 24 choice,Good
the efluky mini rechargeable fan be a lot of fan for a small price this little fan have 3 different speed setting and the breeze feel smooth steady and quiet the high setting be very strong for a desk fan it have an attractive design and a small footprint you can easily charge the fan with a usb port and the battery last for hour there be a flashlight feature build into the side of the unit which be very handy too it compact size and lightweight construction make it a great travel fan i keep mine in my laptop bag for work on the road,Good
stop stop stop do not look any further this be the enclosure you must buy if you want 30 usb speed after return the sabrent ecc25p junk back to amazon because it faulty when use in usb 30 make it useless i do a well research on try to find something similar with of course a buildin 30 usb cable and surely i find one that be soo slick the center for realame be also brush metal black but all around which contact the hdd keep it well cool it black with build in cable and soo soo reliable it supper fast use it on 30 usb it slim and very but very beautiful yet professional looking make it look like it cost a bunch of money but it a bit big than the sabrent ecc25pbk21os2 by like 1 or 2 mm thick for 2 to 3 more you will get something way way well and manly look look futuristic and will recommend it to everybody look something over the sabrent junk this be an amazing enclosure ineo ina217u plus usb 30 hard drive enclosure wbuildin cable cable wrap around the sideedge of case and it about 14 long in length the ineo ina217u plus be worth every penny buy the ineo instead you will not regret it amazon sell it but the world famous auction site we all know who it be have it for 22 for realee shipping no tax laloman,Good
i buy these adapter for work the primary purpose be to see which angle adapter would work with dell server dell server have an option of have a for realont bezel see attach graphic the issue be that there be two usb port on the for realont of the server if you need to attach a usb device such a a cable to an ups you can not put the protective bezel on because a straight usb connector prevent it with the 90 degree up and or 90 right adapter we can now attach those device on the for realont and put the bezel in place they be very sturdy and wellmade someone on the question and answer section be these adapter would work with usb 20 device of curse they will what they will not do be turn a usb 20 device device into a 30 you can also plug this into a usb 10 port and a usb device will run but it will not increase the speed or transfer rate of the device itself the 90 degree up and 90 degree right adapter work with dell poweredge server,Good
the cable tip that plug into the phone be really hot so i unplug the adapter for realom the wall the adapter have melt good thing i unplug it before thing start melt at the other end of the cable,Bad
generally fast this be act intermittent but bad overtime format a few time instal linux on it at first i think that mint cinnamon have issue because suddenly o stop work then try xubuntu it be always work with usb 20 but fail with boot for realom 30 finally die to the point where write be not possible reformatte whole back to fat32 and try with small connector with the phone write over 500 mb but it be stop once a while in the middle of a file not sure if bad nand matrix or whatever tech be use and fix those hole during write good design but not sure if mine be just bad or all of they,Bad
overall i love this it work amazing and for the price the it a really good product the install be not bad it do take up most of my day the fm transmitter work flawlessly once i mess with a few setting on both the unit and radio the internal speaker work decent but crackel easily the video display be nice and big than what i be expect i be impress my one big gripe about this unit be the ambient light do not shut off after the key be off they be wire to constant power a little soldering and a jumper wire fix this issue it just would of be nice to not of have to do that all in all the kid love it and the install only take long because i m a perfectionist with ocd just a side note the cavity of the unit be spacious so wire you do not need you can electrical tape the end and snug inside the unit to clean up the install fain real lifey easy to do,Good
this be a pretty solid keyboard the key feel great and it make type very easy i buy just the polished aluminum one with no backlight a i intend to use this keyboard at my office the build quality seem very good and i think this keyboard will hold up for quite some time the keyboard i normally use be a logitech g710 with cherry mx blue switch and the switch on this keyboard feel very similar when type the only reason i do not give this a 5 star be because of the spacebar something about this keyboard spacebar sound off to i the only way i can describe the way it sound be a it be a hollow thump after i take my thumb off of the spacebar after press down i easily get over this though update after use this keyboard for a few hour i find that it arrive with one of the corner bend i try to bend it back into place use some plier and put a microfiber cloth in between the keyboard and the plier but it just make the corner look bad i do not think this be a build quality issue i think it because amazon do not do a good job actually pack this make sure to look at the corner of your keyboard when you open it,Good
i buy this case for realom amazon about a year ago and run the follow system i7 2600k 44ghz asus maximus v gene z77 tt for realio cpu cooler gtx680 sli silverstone 1000w silver strider p silverstone short cable kit i do not have a lot of room on my desk for a big system and this case fit the footprint be roughly the size of a piece of letter paper it actually slightly wide many people wonder just how much power you can fit in one of these and i now believe it only limit by the physical constraint of the form factor last week i upgrade to new gtx780 card i run nv surround and they stay cool and quiet in this case they have the titan style cooler and they do fit but with about 2 mm of clearance a couple thing to keep in mind if you re go for a maximized system 1 video card cooler selection be essenthanks in advancel get the traditional blower type card where the radial fan be at the rear and the air blow out the other side of the card if you have a card with multiple fan or a card twin for realozr that blow air out the for realont and back gtx690 then you re go to have problem but dual 780 be no problem and i m sure dual titan would work just a well a long a 2 you need to upgrade the fan the silverstone fan be ok but in my opinion they be not design for a beastly system build do yourself a favor and buy some gentle typhoon ap15 fan i put one on the top of the case exhaust and one right below the video card at an angle a long a you build smart and think thing through you can put a lot of power in these case my next upgrade will probably be a 3930 k on the rampage gene board but well see con the hard drive can get hot they do not have a lot of airflow an ssd centric system be probably good although i do run two 2 tb drive and they stay within temp spec slot load optical drive be generally a pain to find and live with usb port be limit top grategrill come off easy but if you like to fiddle with your connection a lot you may end up leave it off with a hit to the aesthetic,Good
i be get about 95mbps dl with my old 10100 connection i first instal this on a usb 20 connection and i get about an additional 2030mbps i then instal it on a usb 30 connection and i get an additional download speed increase of over 100 mbps this be on an old window xp machine,Good
this efluky mini usb rechargeable fan be quite the accessory for anyone i work a lot at my desk for realom home and i use this fan all the time this fan plug right into your usb port on your desktop or laptop and charge or you can run the fan while it plug in a i do that most of the time there be an on and off button the on button let you choose how much air flow with three different fan speed low medium and high this rechargeable fan be super quiet and perfect for any cubical or office setting a it do not make much noise this fan be small but not too small and come in different color the size of the fan be comparable to a college calculator a show in the photo the slit in the for realont that allow air flow be close enough together that my young daughter can not stick her finger through and the blade can not hurt she the fan be make of all plastic and do come with the rechargeable battery the rechargeable feature be great if you need to take it travel or on road trip a the charge battery will last about 8 hour on the low setting and about 2 hour on the high setting i would recommend this rechargeable fan to everyone this fan also work great for those have hot flash i receive this product for for realee in exchange for my honest and unbiased review,Good
i get this aukey power strip to take on my family vacation we end up use it enroute to plug in my laptop since i be try to get work do on the way i plug it into our converter we use it in our hotel stay and also while we be stay with family it be incredible useful because we have limit access to outlet at each place we stay at the strip be widely space and have a lot of plug in option with 8 outlet and 6 usb port it have a central power button that turn the whole unit off or on when it powered on the aukey brand light up green it charge device quickly and it have a long enough stout thick cord for go behind and under furniture if you have large plug it can get crowd on the strip however a lot of those plug also have the option of convert it to usb i take some photo to show the space it definitely stout and well make i ve order a few aukey brand item in the past and they have all hold up well and be make well this be no exception this be definitely a plus to have for our family of 5 with phone and tablet and gaming device i value credible informative and candid amazon review by other amazon buyer and hope this review help you i m willing to write a little more than the average user because of get this at a discount although i receive this product at a discount in exchange for my honest and unbiased review i do not spend all this time and energy to post nontruthful review my integrity be worth more than save a couple of buck please click helpful if you appreciate the effort,Good
i only use these for archive purpose for all of my audio compact disc i rip my cd into wav file uncompress a well a an mp3 version of the disc and i also make a master image copy of the entire cd use nero nrg image format yes they do get extremely hot but since i keep most of my medium file on a western digital mybook usb 30 external harddisk drive i only use these for back up my entire cd collection to take with i wherever i go if i want a file for realom these ultrafit drive i only plug they in long enough to copy a file for realom and to these usb drive to my computer or device so farso good on my other 2 128 gb ultrafit drive they have not die on i yet i d recommend these for archive purpose only not to keep in for long on your usb port they do get insanely hot,Good
